lemma,f
owner-occupier,7
second-rank,1
fluctuate,32
qualm,20
dhow,2
indifferent,55
bookish,11
non-smoking,1
juridical,4
rewrite,180
overlap,78
hemline,5
vacancy,116
newsy,3
savvier,2
non-native,1
cohabitation,9
puppetry,5
stiletto,9
absolutist,3
baked,41
hand-to-hand,6
crossbar,5
immersive,15
factored,36
realism,101
rent-a-quote,2
flower,184
farmhouse,18
contrasting,23
familiar,486
ultra,29
planet,336
signing,99
contradict,112
liberator,11
weighting,22
pyjama,7
jumpstart,1
soothed,1
slenderness,1
unsubstantiated,5
firecracker,7
renewableuk,1
affect,1860
glaring,45
shootout,5
mentorship,2
fatalist,1
outcrop,1
century,1246
idyllic,23
manipulate,96
catalonian,10
coming-of-age,7
making,150
disjuncture,4
reckon,428
spreadsheet,51
demagoguery,7
anti-development,1
subsistence,33
membership,1157
profanity,4
untoward,5
dancefloor,15
rarefy,13
spokeswoman,185
weaponry,19
insurrection,31
gay,360
tyre,30
taverna,19
plc,31
stronger-than-expected,9
automaton,7
easeful,2
idle,86
lbc,1
stow,2
immense,212
danish,86
collate,28
sadist,9
hour-and-a-half,2
contractionary,26
feel-good,17
ice-skating,1
offer,4649
big-state,1
1780,1
tennis,113
degenerate,23
aficionado,12
suspenders,1
directorate,14
lead-up,20
de-leverage,4
frosting,1
obsess,165
wilt,17
dismiss,728
rebuttal,28
lavishness,6
plebgate,3
labour-style,4
marriage,566
boom-time,5
al-shabaab,1
woke,2
nee,1
moist,3
workspace,6
piercing,3
psychopathic,2
mutual,237
mind-reader,1
impressed,112
gratin,1
herculean,19
headline-grabbing,24
stampede,27
subtlety,28
trickle-down,41
decoupling,6
padding,7
10-storey,2
slum,66
masochist,6
fracking,62
upset,266
bleeding,34
semaphore,4
onebedroom,1
cantankerous,4
then-premier,1
hula,3
scoff,24
pixel,11
cigarette,131
office-based,3
fries,4
backwoodsman,3
software,111
prejudicial,3
disestablishment,1
reject,1398
dfid,83
bruge,3
unforseen,1
over-reaction,5
grammar,153
realize,16
attention-seeking,2
cocksure,4
greenish,1
digitisation,10
defeatist,13
semester,7
anguished,15
pwc,53
smaller-scale,5
awake,20
misogyny,38
stocky,4
compute,15
ultra-low,56
disgruntled,39
rightful,13
offender,149
full-year,51
verity,6
calibre,22
scouser,3
anvil,5
eleventh-hour,5
sinful,10
bbc,2
imperialism,39
muscovite,9
embroidered,3
painstaking,21
somersault,4
mid-range,9
clamp,114
samphire,3
jin,1
bestsell,15
pilot,226
humbug,6
needier,1
10-page,4
junction,35
visibility,45
amplify,67
remunerate,2
forecast-beating,2
retool,9
inquiry,735
destroyer,15
eef,36
sexist,70
ex-gp,1
romney,7
potshot,3
knighthood,47
make-believe,5
productive,299
database,64
insolvent,90
2007-present,4
cyprus-style,2
man-eater,1
banner,278
spec,8
denigration,12
ill-considered,8
grow-your-own,3
overheat,8
airing,9
humour,175
precursor,32
undergo,153
positioning,28
airman,6
glittery,2
fraudster,13
pointlessness,4
marvelling,1
brazilian,151
crumpled,10
misbehaviour,3
canvass,59
punk,68
wind-up,6
oddity,24
alone,27
binary,45
bible,21
co-responsible,1
wholegrain,1
divest,15
hardball,25
turret,3
tax-based,1
sprightly,7
problematical,2
torpid,2
proclaim,180
deplorable,19
debutante,5
succulent,3
pass-the-parcel,1
sloppy,10
aggravation,5
eye-watering,50
summarize,4
withdraw,565
whore,12
lordship,7
grandkid,6
two-speed,52
puddle,11
émigrés,3
amputee,4
slope,54
frontage,6
macro-economics,2
let-up,22
swaddle,6
bacterium,15
globalised,73
undead,4
revolting,5
unattributed,2
dietitian,1
justified,140
tweedy,9
antiseptic,5
perspective,423
deterrent,116
edinburgh-based,7
defensible,17
svr,2
dormant,29
typographer,3
hush,14
odd-looking,1
push,2983
chilly,28
savoury,7
tragicomedy,2
statute,52
bonding,12
aesthetic,73
cellar,29
escalating,11
mou,7
piggery,2
nothing,3085
idealised,9
prissy,2
constancy,1
caption,2067
superstardom,1
pepper-spray,3
non-emergency,4
outdo,26
garland,12
unquestioned,11
mulled,2
soup,155
oct,25
balkan,7
adversity,50
skit,5
gypsy,24
laboratory,51
talisman,13
purity,40
gymnast,2
biceps,1
becalmed,4
adhere,43
underrated,12
volleyball,7
collectivise,3
custom,109
foreigner,184
substandard,10
absentia,1
fairness,380
argentinian,55
afar,7
first-night,2
one-piece,5
worldwide,134
roundabout,23
elegy,7
brethren,8
scion,15
low-lying,5
hospitalise,10
hay,53
repository,14
misogynist,14
incubator,17
mycologist,1
rowdiness,3
voluptuous,3
wallow,20
oyster,19
aerosol,3
sign-language,1
hardheaded,1
invisibility,5
avant,18
dear,25
disquieting,6
colonist,5
creamy,12
price-sensitive,2
mid-40,4
well-schooled,1
cheese-paring,3
unaddressed,15
canny,62
living-room,1
sr,2
twice-weekly,1
autonomous,61
ebay,5
underlying,166
vaccinate,13
world-beater,3
hashtagg,1
groundbreaking,22
holistic,23
discretion,51
byelection,270
prettiness,5
strung,1
soviet-style,5
cult,115
unfancied,1
rectangle,10
transitory,5
expected,27
pawn,23
common-or-garden,3
hear,2344
lavender,3
alphabet,12
luggage,17
mule,10
chav,18
sharing,85
unsatisfactory,17
phoney,51
colony,82
whinge,10
pick-me-up,1
wildlife,62
hands-on,16
mist,15
prosciutto,1
